Year,Country,Country Code,GDP/capita,Population,"Malaria cases/100,000 pop.","Under-5s (per 100,000)","All ages (per 100,000)","70+ years old (per 100,000)","50-69 years old (per 100,000)","15-49 years old (per 100,000)","5-14 years old (per 100,000)","Age-standardized (per 100,000)",Capital,Latitude,Longitude,Latitude Number,Longitude Number
2006,Namibia,NAM,7684.321193000001,2118653.0,22204.05,22.16,8.85,23.32,12.38,5.89,5.27,9.79,Windhoek,22.35S,17.04E,-22.35,17.04
2006,Nigeria,NGA,4374.284423,143338939.0,2103.6120969999997,1037.65,205.03,264.61,65.95,17.15,59.01,146.28,Abuja,09.05N,07.32E,9.05,7.32
2006,Nicaragua,NIC,3864.693486,5493527.0,122.5178571,0.08,0.07,0.24,0.11,0.06,0.02,0.08,Managua,12.06N,86.20W,12.06,-86.2
2006,Netherlands,NLD,44965.885,16377959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amsterdam ,52.23N,04.54E,52.23,4.54
2006,Norway,NOR,63877.78416,4668802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oslo,59.55N,10.45E,59.55,10.45
2006,Nepal,NPL,1720.853441,27833665.0,37.27777778,10.02,3.26,5.21,2.22,0.79,4.51,2.87,Kathmandu,27.45N,85.20E,27.45,85.2
2006,New Zealand,NZL,32564.3035,4184903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wellington,41.19S,174.46E,-41.19,174.46
2006,Pakistan,PAK,4174.979611,161513324.0,81.47916667,5.38,3.95,9.54,3.52,1.38,8.04,3.87,Islamabad,33.40N,73.10E,33.4,73.1
2006,Panama,PAN,12671.766309999999,3294583.0,159.21875,0.0,0.01,0.04,0.02,0.01,0.0,0.01,Panama,09.00N,79.25W,9.0,-79.25
2006,Peru,PER,8067.8986780000005,27866387.0,292.18014710000006,0.04,0.03,0.15,0.07,0.03,0.01,0.04,Lima,12.00S,77.00W,-12.0,-77.0
2006,Philippines,PHL,4941.598588,87116275.0,54.555,0.14,0.23,0.86,0.47,0.24,0.08,0.3,Manila,14.40N,121.03E,14.4,121.03
2006,Poland,POL,18267.58012,38170330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warsaw,52.13N,21.00E,52.13,21.0
2006,Portugal,PRT,26957.63637,10577630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lisbon,38.42N,09.10W,38.42,-9.1
2006,Paraguay,PRY,6318.750789,6008597.0,11.56666667,0.0,0.01,0.05,0.02,0.01,0.0,0.01,Asuncion,25.10S,57.30W,-25.1,-57.3
2006,Qatar,QAT,118585.1575,978336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doha,25.15N,51.35E,25.15,51.35
2006,Romania,ROU,15930.26473,21705175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bucuresti,44.27N,26.10E,44.27,26.1
2006,Russia,RUS,20970.1899,143510059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moskva,55.45N,37.35E,55.45,37.35
2006,El Salvador,SLV,7195.7399700000005,6074487.0,1.307692308,0.0,0.01,0.04,0.01,0.02,0.0,0.02,San Salvador,13.40N,89.10W,13.4,-89.1
2006,Slovakia,SVK,21712.178359999998,5422122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bratislava,48.10N,17.07E,48.1,17.07
2006,Slovenia,SVN,28389.3382,2006903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ljubljana,46.04N,14.33E,46.04,14.33
2006,Sweden,SWE,42918.01025,9090707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stockholm,59.20N,18.03E,59.2,18.03
2006,Chad,TCD,1743.6178510000002,10084087.0,4767.864197999999,320.48,70.1,105.64,38.15,8.64,18.25,51.21,N'Djamena,12.10N,14.59E,12.1,14.59
2006,Thailand,THA,12024.67183,67276383.0,59.48248408,0.13,0.15,0.24,0.15,0.16,0.1,0.15,Bangkok,13.45N,100.35E,13.45,100.35
2006,Tajikistan,TJK,1788.110936,6524634.0,87.5483871,0.04,0.06,0.13,0.06,0.03,0.12,0.06,Dushanbe,38.33N,68.48E,38.33,68.48
2006,Tunisia,TUN,9179.489146,10017832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tunis,36.50N,10.11E,36.5,10.11
2006,Turkey,TUR,17250.77173,69063538.0,12.93408135,0.0,0.01,0.04,0.01,0.01,0.0,0.01,Ankara,39.57N,32.54E,39.57,32.54
2006,Tanzania,TZA,1847.6026510000002,39923609.0,3000.0,301.95,68.23,101.5,35.75,10.82,19.33,50.12,Dodoma,06.08S,35.45E,-6.08,35.45
2006,Uganda,UGA,1329.8332599999999,29370251.0,47842.678289999996,812.58,201.1,330.07,113.2,29.5,55.24,144.5,Kampala,00.20N,32.30E,0.2,32.3
2006,Ukraine,UKR,7828.081179000001,46591797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiev (Russia),50.30N,30.28E,50.3,30.28
2006,Uruguay,URY,13485.55486,3327451.0,1.588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montevideo,34.50S,56.11W,-34.5,-56.11
2006,United States,USA,50598.94836,299564470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington DC,39.91N,77.02W,39.91,-77.02
2006,Venezuela,VEN,16149.48034,27128721.0,178.0725191,0.08,0.07,0.16,0.1,0.08,0.02,0.08,Caracas,10.30N,66.55W,10.3,-66.55
2006,Vietnam,VNM,3686.955728,84075580.0,45.96560197,1.63,1.29,3.2,1.93,1.23,0.46,1.4,Hanoi,21.05N,105.55E,21.05,105.55
2006,South Africa,ZAF,11525.97788,48330914.0,29.88,0.29,0.43,0.51,0.53,0.48,0.29,0.46,Cape Town (legislative) ,25.44S,28.12E,-25.44,28.12
2006,Zambia,ZMB,2607.1327760000004,11750105.0,18964.009430000002,153.09,39.47,95.43,35.93,9.98,13.28,35.59,Lusaka,15.28S,28.16E,-15.28,28.16
2006,Zimbabwe,ZWE,1574.5124560000002,12529655.0,9562.351145,20.33,9.78,30.07,15.32,7.48,5.32,11.47,Harare,17.43S,31.02E,-17.43,31.02
2007,Albania,ALB,8447.882285,3169665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tirane,41.18N,19.49E,41.18,19.49
2007,United Arab Emirates,ARE,79283.0527,5405541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abu Dhabi,24.28N,54.22E,24.28,54.22
2007,Argentina,ARG,17900.70634,39368066.0,0.29562982,0.0,0.01,0.04,0.02,0.01,0.0,0.01,Buenos Aires,36.30S,60.00W,-36.3,-60.0
2007,Armenia,ARM,7010.627056,3074181.0,0.935483871,0.0,0.01,0.05,0.02,0.01,0.0,0.01,Yerevan,40.10N,44.31E,40.1,44.31
2007,Australia,AUS,40649.66422,21119988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canberra,35.15S,149.08E,-35.15,149.08
2007,Austria,AUT,43714.89634,8309783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vienna,48.12N,16.22E,48.12,16.22
2007,Azerbaijan,AZE,13243.21286,8821012.0,5.738095238,0.0,0.01,0.06,0.02,0.01,0.0,0.01,Baku,40.29N,49.56E,40.29,49.56
2007,Burundi,BDI,747.6764747000001,7707781.0,26993.85075,439.07,104.54,241.97,77.89,22.01,35.52,89.86,Bujumbura,03.16S,29.18E,-3.16,29.18
2007,Belgium,BEL,41672.432010000004,10538758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brussels,50.51N,04.21E,50.51,4.21
2007,Benin,BEN,1805.622568,8112573.0,12172.51563,593.91,131.58,260.85,82.27,20.82,42.35,105.73,Porto Novo (constitutional) ,06.23N,02.42E,6.23,2.42
2007,Burkina Faso,BFA,1302.184069,15061127.0,11894.467209999999,1231.62,273.27,371.01,122.59,29.79,67.8,187.75,Ouagadougou,12.15N,01.30W,12.15,-1.3
2007,Bangladesh,BGD,2148.473993,143956805.0,38.77232447,0.01,1.58,0.78,1.27,1.75,2.14,1.56,Dhaka,23.43N,90.26E,23.43,90.26
2007,Bulgaria,BGR,14795.79272,7640283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sofia,42.45N,23.20E,42.45,23.2
2007,Bahrain,BHR,43321.2836,925733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manama,26.10N,50.30E,26.1,50.3
2007,Bosnia and Herzegovina,BIH,9282.375631,3779034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sarajevo,43.52N,18.26E,43.52,18.26
2007,Bolivia,BOL,4972.4915630000005,9463497.0,165.66666669999998,0.2,0.1,0.32,0.14,0.07,0.07,0.11,La Paz,16.20S,68.10W,-16.2,-68.1
2007,Brazil,BRA,13271.047040000001,189798070.0,254.1964582,0.1,0.05,0.09,0.06,0.04,0.03,0.05,Brasilia,15.47S,47.55W,-15.47,-47.55
2007,Barbados,BRB,16083.36667,271618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bridgetown,13.05N,59.30W,13.05,-59.3
2007,Botswana,BWA,13175.17962,1927540.0,1245.444444,1.18,1.05,3.35,1.85,1.04,0.48,1.3,Gaborone,24.45S,25.57E,-24.45,25.57
2007,Canada,CAN,41647.38781,32977334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ottawa,45.27N,75.42W,45.27,-75.42
2007,Switzerland,CHE,55848.859410000005,7521613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bern,46.57N,07.28E,46.57,7.28
2007,Chile,CHL,18572.56839,16633254.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santiago,33.24S,70.40W,-33.24,-70.4
2007,China,CHN,7285.2749189999995,1321481935.0,3.1192301789999997,0.0,0.02,0.04,0.02,0.02,0.0,0.02,Beijing,39.55N,116.20E,39.55,116.2
2007,Cameroon,CMR,2661.381529,18350022.0,2900.0,832.59,176.22,293.14,113.11,28.69,54.55,140.48,Yaounde,03.50N,11.35E,3.5,11.35
2007,Colombia,COL,10306.94749,44352327.0,260.2939866,0.37,0.14,0.36,0.15,0.1,0.11,0.16,Bogota,04.34N,74.00W,4.34,-74.0
2007,Costa Rica,CRI,12433.201570000001,4452608.0,29.97674419,0.0,0.01,0.03,0.01,0.01,0.0,0.01,San Jose,09.55N,84.02W,9.55,-84.02
2007,Cyprus,CYP,35502.955969999995,1063027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nicosia,35.10N,33.25E,35.1,33.25
2007,Czech Republic,CZE,28777.63933,10313525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Prague,50.05N,14.22E,50.05,14.22
2007,Germany,DEU,40473.52745,82516297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Berlin,52.30N,13.25E,52.3,13.25
2007,Denmark,DNK,46373.51666,5469130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Copenhagen,55.41N,12.34E,55.41,12.34
2007,Dominican Republic,DOM,10265.03732,9531954.0,26.46067416,0.01,0.02,0.08,0.04,0.03,0.01,0.03,Santo Domingo,18.30N,69.59W,18.3,-69.59
2007,Algeria,DZA,12570.27725,33906605.0,0.9777070059999999,0.01,0.02,0.06,0.04,0.03,0.0,0.02,Algiers,36.42N,03.08E,36.42,3.08
